Lead_ID,Lead_Date,Lead_Source,Location,Property_Type, Budget ,Call_Attempts,Call_Status,Follow_Up,Site_Visit,Lead_Status,Sales_Value,Budget_Range
L0052,2026-01-12 12:54:03,Property Portal,periyanayakanpalayam,Apartment," 6,458,498.00 ",1,Connected,No,No,Lost,,50L-80L
L0053,2026-01-12 18:19:49,Referral,Saravanampatti,Apartment," 3,841,708.00 ",2,Not Connected,No,Yes,Converted,3700000,30L-50L
L0054,2026-01-12 23:45:35,Property Portal,panneermadai,Plot," 2,608,848.00 ",3,Connected,Yes,No,Follow-up,,Below 30L
L0055,2026-01-13 05:11:21,Instagram,Saravanampatti,Plot," 2,496,358.00 ",1,Connected,Yes,Yes,Converted,2400000,Below 30L
L0056,2026-01-13 10:37:07,Referral,Coimbatore,Villa," 6,253,091.00 ",1,Not Connected,No,No,Lost,,50L-80L
L0057,2026-01-13 16:02:53,Website,panneermadai,Apartment," 7,101,161.00 ",2,Connected,Yes,Yes,Converted,7350000,50L-80L
L0058,2026-01-13 21:28:39,Website,Coimbatore,Apartment," 4,775,050.00 ",1,Not Connected,No,No,Lost,,30L-50L
L0059,2026-01-14 02:54:25,Website,periyanayakanpalayam,Villa," 11,938,854.00 ",1,Not Connected,No,No,Lost,,80L-1.2Cr
L0060,2026-01-14 08:20:11,Google,Ramanathapuram,Apartment," 7,919,921.00 ",2,Connected,Yes,No,Follow-up,,50L-80L
L0061,2026-01-14 13:45:57,Google,Saravanampatti,Apartment," 5,140,795.00 ",1,Connected,Yes,Yes,Converted,5050000,50L-80L
L0062,2026-01-14 19:11:43,Google,Saravanampatti,Apartment," 4,461,666.00 ",2,Not Connected,No,No,Lost,,30L-50L
L0063,2026-01-15 00:37:29,Property Portal,panneermadai,Plot," 6,361,237.00 ",2,Not Connected,Yes,No,Follow-up,,50L-80L
L0064,2026-01-15 06:03:15,Google,Coimbatore,Apartment," 8,334,908.00 ",2,Connected,Yes,No,Follow-up,,80L-1.2Cr
L0065,2026-01-15 11:29:01,Google,Coimbatore,Apartment," 6,633,499.00 ",5,Connected,Yes,No,Follow-up,,50L-80L
L0066,2026-01-15 16:54:46,Facebook,Ramanathapuram,Villa," 9,638,586.00 ",3,Connected,Yes,No,Follow-up,,80L-1.2Cr
L0067,2026-01-15 22:20:32,Website,Thudiyalur,Apartment," 6,544,817.00 ",2,Connected,No,No,Lost,,50L-80L
L0068,2026-01-16 03:46:18,Property Portal,Thudiyalur,Apartment," 5,639,753.00 ",2,Not Connected,Yes,No,Follow-up,,50L-80L
L0069,2026-01-16 09:12:04,Website,Coimbatore,Apartment," 3,796,883.00 ",4,Connected,Yes,No,Follow-up,,30L-50L
L0070,2026-01-16 14:37:50,Referral,Coimbatore,Apartment," 3,796,710.00 ",5,Not Connected,No,No,Lost,,30L-50L
L0071,2026-01-16 20:03:36,Property Portal,Coimbatore,Villa," 8,220,182.00 ",5,Connected,Yes,Yes,Follow-up,,80L-1.2Cr
L0072,2026-01-17 01:29:22,Website,Thudiyalur,Apartment," 3,316,462.00 ",3,Connected,Yes,No,Converted,3300000,30L-50L
L0073,2026-01-17 06:55:08,Website,Thudiyalur,Apartment," 3,060,128.00 ",1,Connected,Yes,No,Follow-up,,30L-50L
L0074,2026-01-17 12:20:54,Property Portal,Thudiyalur,Plot," 2,782,116.00 ",2,Connected,Yes,No,Follow-up,,Below 30L
L0075,2026-01-17 17:46:40,Instagram,Saravanampatti,Plot," 1,652,353.00 ",1,Not Connected,Yes,No,Follow-up,,Below 30L
L0076,2026-01-17 23:12:26,Instagram,Coimbatore,Plot," 2,838,306.00 ",5,Connected,Yes,No,Follow-up,,Below 30L
L0077,2026-01-18 04:38:12,Property Portal,Coimbatore,Apartment," 3,086,346.00 ",3,Connected,Yes,No,Follow-up,,30L-50L
L0078,2026-01-18 10:03:58,Website,Ramanathapuram,Apartment," 5,058,686.00 ",4,Connected,Yes,Yes,Converted,4750000,50L-80L
L0079,2026-01-18 15:29:44,Google,Thudiyalur,Plot," 7,582,154.00 ",2,Connected,No,Yes,Lost,,50L-80L
L0080,2026-01-18 20:55:30,Website,Saravanampatti,Villa," 14,026,111.00 ",4,Connected,Yes,Yes,Converted,13900000,Above 1.2Cr
L0081,2026-01-19 02:21:16,Property Portal,panneermadai,Apartment," 4,900,827.00 ",2,Connected,Yes,No,Follow-up,,30L-50L
L0082,2026-01-19 07:47:02,Instagram,Thudiyalur,Apartment," 3,637,431.00 ",1,Connected,Yes,No,Follow-up,,30L-50L
L0083,2026-01-19 13:12:48,Google,Coimbatore,Apartment," 3,362,441.00 ",2,Connected,No,No,Lost,,30L-50L
L0084,2026-01-19 18:38:34,Website,Saravanampatti,Plot," 4,836,023.00 ",3,Connected,No,No,Lost,,30L-50L
L0085,2026-01-20 00:04:19,Google,Saravanampatti,Apartment," 6,445,326.00 ",2,Connected,No,No,Lost,,50L-80L
L0086,2026-01-20 05:30:05,Google,periyanayakanpalayam,Apartment," 4,008,109.00 ",5,Connected,Yes,No,Follow-up,,30L-50L
L0087,2026-01-20 10:55:51,Instagram,Ramanathapuram,Apartment," 3,698,876.00 ",1,Connected,Yes,No,Follow-up,,30L-50L
L0088,2026-01-20 16:21:37,Instagram,Thudiyalur,Villa," 9,556,601.00 ",3,Not Connected,Yes,No,Follow-up,,80L-1.2Cr
L0089,2026-01-20 21:47:23,Property Portal,Saravanampatti,Plot," 2,723,451.00 ",3,Not Connected,No,No,Lost,,Below 30L
L0090,2026-01-21 03:13:09,Facebook,Thudiyalur,Apartment," 8,427,717.00 ",2,Connected,Yes,Yes,Follow-up,,80L-1.2Cr
L0091,2026-01-21 08:38:55,Website,Saravanampatti,Villa," 9,692,504.00 ",4,Connected,No,No,Lost,,80L-1.2Cr
L0092,2026-01-21 14:04:41,Instagram,Ramanathapuram,Plot," 3,887,554.00 ",4,Connected,Yes,Yes,Follow-up,,30L-50L
L0093,2026-01-21 19:30:27,Property Portal,Ramanathapuram,Apartment," 5,946,251.00 ",4,Connected,Yes,Yes,Converted,5700000,50L-80L
L0094,2026-01-22 00:56:13,Facebook,periyanayakanpalayam,Apartment," 5,131,526.00 ",5,Connected,Yes,No,Follow-up,,50L-80L
L0095,2026-01-22 06:21:59,Property Portal,Thudiyalur,Apartment," 3,698,787.00 ",4,Connected,Yes,No,Follow-up,,30L-50L
L0096,2026-01-22 11:47:45,Facebook,Thudiyalur,Villa," 11,651,397.00 ",1,Connected,Yes,No,Follow-up,,80L-1.2Cr
L0097,2026-01-22 17:13:31,Facebook,Thudiyalur,Villa," 10,408,242.00 ",4,Connected,Yes,Yes,Converted,10550000,80L-1.2Cr
L0098,2026-01-22 22:39:17,Facebook,Thudiyalur,Villa," 10,178,998.00 ",2,Connected,No,No,Lost,,80L-1.2Cr
L0099,2026-01-23 04:05:03,Website,panneermadai,Villa," 9,413,082.00 ",1,Connected,Yes,Yes,Follow-up,,80L-1.2Cr
L0100,2026-01-23 09:30:49,Website,Coimbatore,Apartment," 4,137,411.00 ",1,Connected,No,Yes,Lost,,30L-50L
L0101,2026-01-23 14:56:35,Website,Thudiyalur,Plot," 4,745,031.00 ",4,Connected,Yes,Yes,Converted,4900000,30L-50L
L0102,2026-01-23 20:22:21,Instagram,Saravanampatti,Apartment," 3,293,851.00 ",4,Connected,Yes,Yes,Follow-up,,30L-50L
L0103,2026-01-24 01:48:06,Google,Saravanampatti,Apartment," 4,205,046.00 ",1,Connected,No,Yes,Converted,4250000,30L-50L
L0104,2026-01-24 07:13:52,Facebook,Saravanampatti,Villa," 11,722,438.00 ",4,Connected,No,No,Lost,,80L-1.2Cr
L0105,2026-01-24 12:39:38,Referral,Saravanampatti,Villa," 10,522,785.00 ",5,Connected,Yes,Yes,Follow-up,,80L-1.2Cr
L0106,2026-01-24 18:05:24,Google,Thudiyalur,Apartment," 8,872,949.00 ",1,Connected,No,No,Lost,,80L-1.2Cr
L0107,2026-01-24 23:31:10,Facebook,Coimbatore,Plot," 2,270,692.00 ",1,Connected,No,Yes,Lost,,Below 30L
L0108,2026-01-25 04:56:56,Property Portal,panneermadai,Plot," 3,637,788.00 ",4,Connected,No,No,Lost,,30L-50L
L0109,2026-01-25 10:22:42,Google,Ramanathapuram,Apartment," 5,972,967.00 ",2,Connected,Yes,No,Follow-up,,50L-80L
L0110,2026-01-25 15:48:28,Website,Thudiyalur,Plot," 4,358,127.00 ",3,Connected,No,No,Lost,,30L-50L
L0111,2026-01-25 21:14:14,Google,panneermadai,Apartment," 4,844,867.00 ",1,Connected,No,No,Lost,,30L-50L
L0112,2026-01-26 02:40:00,Website,Thudiyalur,Apartment," 5,152,417.00 ",2,Connected,No,No,Lost,,50L-80L
L0113,2026-01-26 08:05:46,Referral,Thudiyalur,Apartment," 3,676,585.00 ",4,Not Connected,No,No,Lost,,30L-50L
L0114,2026-01-26 13:31:32,Property Portal,periyanayakanpalayam,Plot," 4,892,629.00 ",3,Connected,Yes,Yes,Converted,4950000,30L-50L
L0115,2026-01-26 18:57:18,Instagram,periyanayakanpalayam,Villa," 10,492,570.00 ",4,Connected,Yes,No,Follow-up,,80L-1.2Cr
L0116,2026-01-27 00:23:04,Property Portal,periyanayakanpalayam,Apartment," 5,489,337.00 ",5,Not Connected,No,No,Lost,,50L-80L
L0117,2026-01-27 05:48:50,Property Portal,Thudiyalur,Apartment," 5,529,934.00 ",4,Not Connected,No,No,Lost,,50L-80L
L0118,2026-01-27 11:14:36,Website,Saravanampatti,Villa," 17,160,325.00 ",3,Connected,Yes,Yes,Converted,16950000,Above 1.2Cr
L0119,2026-01-27 16:40:22,Property Portal,Thudiyalur,Apartment," 4,129,833.00 ",1,Connected,Yes,Yes,Converted,4200000,30L-50L
L0120,2026-01-27 22:06:08,Facebook,Thudiyalur,Plot," 2,952,879.00 ",3,Connected,No,No,Lost,,Below 30L
L0121,2026-01-28 03:31:54,Property Portal,Unknown,Plot," 5,124,117.00 ",1,Connected,Yes,Yes,Follow-up,,50L-80L
L0122,2026-01-28 08:57:39,Property Portal,Saravanampatti,Apartment," 8,614,566.00 ",4,Connected,Yes,No,Follow-up,,80L-1.2Cr
L0123,2026-01-28 14:23:25,Google,Saravanampatti,Plot," 3,870,947.00 ",2,Connected,Yes,Yes,Converted,3750000,30L-50L
L0124,2026-01-28 19:49:11,Website,panneermadai,Apartment," 3,493,992.00 ",3,Connected,Yes,No,Follow-up,,30L-50L
L0125,2026-01-29 01:14:57,Google,Ramanathapuram,Plot," 5,785,834.00 ",2,Not Connected,No,No,Lost,,50L-80L
L0126,2026-01-29 06:40:43,Facebook,periyanayakanpalayam,Villa," 16,429,900.00 ",4,Not Connected,No,No,Lost,,Above 1.2Cr
L0127,2026-01-29 12:06:29,Property Portal,Thudiyalur,Villa," 13,327,043.00 ",5,Connected,Yes,No,Follow-up,,Above 1.2Cr
L0128,2026-01-29 17:32:15,Property Portal,Coimbatore,Apartment," 3,289,662.00 ",2,Connected,Yes,Yes,Follow-up,,30L-50L
L0129,2026-01-29 22:58:01,Website,Coimbatore,Plot," 3,898,333.00 ",5,Connected,Yes,Yes,Converted,3900000,30L-50L
L0130,2026-01-30 04:23:47,Facebook,Thudiyalur,Apartment," 6,428,791.00 ",2,Not Connected,No,No,Lost,,50L-80L
L0131,2026-01-30 09:49:33,Facebook,Ramanathapuram,Apartment," 3,437,805.00 ",3,Connected,Yes,No,Follow-up,,30L-50L
L0132,2026-01-30 15:15:19,Google,periyanayakanpalayam,Apartment," 3,509,551.00 ",5,Connected,Yes,No,Follow-up,,30L-50L
L0133,2026-01-30 20:41:05,Website,Thudiyalur,Villa," 7,054,096.00 ",2,Connected,Yes,No,Follow-up,,50L-80L
L0134,2026-01-31 02:06:51,Google,Thudiyalur,Apartment," 5,270,645.00 ",6,Connected,No,No,Lost,,50L-80L
L0135,2026-01-31 07:32:37,Referral,Ramanathapuram,Villa," 10,087,820.00 ",1,Connected,Yes,Yes,Converted,9600000,80L-1.2Cr
L0136,2026-01-31 12:58:23,Google,Thudiyalur,Plot," 3,987,798.00 ",1,Not Connected,No,No,Lost,,30L-50L
L0137,2026-01-31 18:24:09,Facebook,panneermadai,Apartment," 4,564,926.00 ",5,Connected,No,No,Lost,,30L-50L
L0138,2026-01-31 23:49:55,Instagram,periyanayakanpalayam,Villa," 6,990,121.00 ",1,Connected,Yes,Yes,Follow-up,,50L-80L
L0139,2026-02-01 05:15:41,Google,periyanayakanpalayam,Apartment," 8,225,050.00 ",6,Connected,Yes,Yes,Converted,7650000,80L-1.2Cr
L0140,2026-02-01 10:41:26,Referral,periyanayakanpalayam,Plot," 1,983,442.00 ",6,Connected,Yes,Yes,Converted,1950000,Below 30L
L0141,2026-02-01 16:07:12,Referral,panneermadai,Plot," 2,279,976.00 ",1,Not Connected,No,No,Lost,,Below 30L
L0142,2026-02-01 21:32:58,Google,Coimbatore,Apartment," 4,009,869.00 ",3,Not Connected,No,No,Lost,,30L-50L
L0143,2026-02-02 02:58:44,Facebook,Ramanathapuram,Villa," 8,428,462.00 ",1,Not Connected,No,No,Lost,,80L-1.2Cr
L0144,2026-02-02 08:24:30,Google,periyanayakanpalayam,Apartment," 4,360,018.00 ",2,Not Connected,Yes,No,Converted,4250000,30L-50L
L0145,2026-02-02 13:50:16,Google,Thudiyalur,Apartment," 3,579,223.00 ",1,Connected,Yes,Yes,Converted,3400000,30L-50L
L0146,2026-02-02 19:16:02,Website,Saravanampatti,Plot," 4,021,437.00 ",1,Connected,Yes,Yes,Converted,4100000,30L-50L
L0147,2026-02-03 00:41:48,Instagram,panneermadai,Apartment," 4,002,429.00 ",2,Connected,Yes,Yes,Converted,3700000,30L-50L
L0148,2026-02-03 06:07:34,Facebook,Ramanathapuram,Apartment," 7,649,123.00 ",2,Not Connected,No,Yes,Lost,,50L-80L
L0149,2026-02-03 11:33:20,Website,panneermadai,Apartment," 5,258,762.00 ",6,Connected,No,Yes,Lost,,50L-80L
L0150,2026-02-03 16:59:06,Google,Saravanampatti,Plot," 1,984,273.00 ",4,Connected,No,Yes,Converted,1900000,Below 30L
L0151,2026-02-03 22:24:52,Referral,Ramanathapuram,Apartment," 4,282,188.00 ",4,Connected,Yes,Yes,Converted,4350000,30L-50L
L0152,2026-02-04 03:50:38,Google,panneermadai,Apartment," 8,903,234.00 ",3,Connected,Yes,Yes,Converted,8700000,80L-1.2Cr
L0153,2026-02-04 09:16:24,Website,Ramanathapuram,Villa," 6,688,332.00 ",4,Connected,Yes,No,Follow-up,,50L-80L
L0154,2026-02-04 14:42:10,Facebook,Ramanathapuram,Plot," 3,422,133.00 ",2,Not Connected,No,No,Lost,,30L-50L
L0155,2026-02-04 20:07:56,Referral,Ramanathapuram,Apartment," 4,256,348.00 ",4,Connected,Yes,No,Converted,4300000,30L-50L
L0156,2026-02-05 01:33:42,Google,panneermadai,Apartment," 3,769,305.00 ",6,Connected,No,No,Lost,,30L-50L
L0157,2026-02-05 06:59:28,Instagram,Thudiyalur,Apartment," 4,620,077.00 ",2,Not Connected,Yes,No,Follow-up,,30L-50L
L0158,2026-02-05 12:25:14,Property Portal,Saravanampatti,Apartment," 3,717,104.00 ",3,Connected,Yes,Yes,Follow-up,,30L-50L
L0159,2026-02-05 17:50:59,Google,Saravanampatti,Apartment," 4,661,082.00 ",4,Not Connected,No,No,Lost,,30L-50L
L0160,2026-02-05 23:16:45,Instagram,Thudiyalur,Villa," 9,901,653.00 ",5,Connected,Yes,Yes,Converted,9850000,80L-1.2Cr
L0161,2026-02-06 04:42:31,Google,panneermadai,Villa," 8,536,414.00 ",4,Connected,Yes,Yes,Converted,8900000,80L-1.2Cr
L0162,2026-02-06 10:08:17,Instagram,Thudiyalur,Villa," 11,448,633.00 ",2,Not Connected,Yes,No,Follow-up,,80L-1.2Cr
L0163,2026-02-06 15:34:03,Instagram,Coimbatore,Apartment," 6,236,067.00 ",2,Connected,Yes,Yes,Follow-up,,50L-80L
L0164,2026-02-06 20:59:49,Facebook,panneermadai,Plot," 3,036,469.00 ",1,Connected,Yes,Yes,Follow-up,,30L-50L
L0165,2026-02-07 02:25:35,Website,Thudiyalur,Apartment," 4,227,545.00 ",4,Connected,Yes,Yes,Converted,4200000,30L-50L
L0166,2026-02-07 07:51:21,Property Portal,panneermadai,Plot," 2,415,480.00 ",1,Connected,Yes,No,Follow-up,,Below 30L
L0167,2026-02-07 13:17:07,Google,panneermadai,Villa," 8,542,057.00 ",5,Connected,No,No,Lost,,80L-1.2Cr
L0168,2026-02-07 18:42:53,Website,periyanayakanpalayam,Apartment," 5,273,953.00 ",1,Connected,No,No,Lost,,50L-80L
L0169,2026-02-08 00:08:39,Website,Thudiyalur,Villa," 9,132,406.00 ",1,Connected,No,Yes,Converted,8400000,80L-1.2Cr
L0170,2026-02-08 05:34:25,Instagram,Coimbatore,Apartment," 5,493,779.00 ",2,Connected,No,No,Lost,,50L-80L
L0171,2026-02-08 11:00:11,Instagram,Ramanathapuram,Villa," 7,514,101.00 ",4,Connected,Yes,Yes,Converted,7250000,50L-80L
L0172,2026-02-08 16:25:57,Website,Saravanampatti,Apartment," 5,025,006.00 ",1,Not Connected,Yes,No,Follow-up,,50L-80L
L0173,2026-02-08 21:51:43,Facebook,Ramanathapuram,Apartment," 5,729,459.00 ",2,Not Connected,No,No,Lost,,50L-80L
L0174,2026-02-09 03:17:29,Google,Thudiyalur,Plot," 7,102,147.00 ",2,Connected,Yes,Yes,Converted,6650000,50L-80L
L0175,2026-02-09 08:43:15,Instagram,Ramanathapuram,Apartment," 3,306,093.00 ",1,Connected,Yes,Yes,Converted,3450000,30L-50L
L0176,2026-02-09 14:09:01,Website,periyanayakanpalayam,Plot," 2,852,935.00 ",1,Connected,No,No,Lost,,Below 30L
L0177,2026-02-09 19:34:46,Instagram,panneermadai,Apartment," 3,516,479.00 ",4,Connected,Yes,Yes,Follow-up,,30L-50L
L0178,2026-02-10 01:00:32,Google,Thudiyalur,Villa," 8,436,831.00 ",3,Connected,Yes,Yes,Follow-up,,80L-1.2Cr
L0179,2026-02-10 06:26:18,Referral,panneermadai,Villa," 6,355,054.00 ",1,Not Connected,No,No,Converted,5950000,50L-80L
L0180,2026-02-10 11:52:04,Website,periyanayakanpalayam,Apartment," 5,755,716.00 ",4,Connected,No,No,Lost,,50L-80L
L0181,2026-02-10 17:17:50,Google,Saravanampatti,Apartment," 5,251,732.00 ",6,Connected,Yes,Yes,Converted,5100000,50L-80L
L0182,2026-02-10 22:43:36,Website,Coimbatore,Apartment," 6,110,413.00 ",3,Connected,No,No,Lost,,50L-80L
L0183,2026-02-11 04:09:22,Referral,Ramanathapuram,Apartment," 5,292,909.00 ",3,Connected,No,No,Lost,,50L-80L
L0184,2026-02-11 09:35:08,Property Portal,Saravanampatti,Apartment," 6,075,247.00 ",5,Connected,No,No,Lost,,50L-80L
L0185,2026-02-11 15:00:54,Google,Thudiyalur,Villa," 6,700,636.00 ",6,Connected,No,No,Lost,,50L-80L
L0186,2026-02-11 20:26:40,Instagram,Saravanampatti,Plot," 4,552,093.00 ",4,Not Connected,No,No,Lost,,30L-50L
L0187,2026-02-12 01:52:26,Property Portal,Ramanathapuram,Plot," 2,270,050.00 ",2,Connected,Yes,Yes,Follow-up,,Below 30L
L0188,2026-02-12 07:18:12,Facebook,Thudiyalur,Villa," 7,988,415.00 ",3,Not Connected,No,No,Lost,,50L-80L
L0189,2026-02-12 12:43:58,Facebook,Coimbatore,Villa," 10,989,271.00 ",4,Connected,Yes,Yes,Follow-up,,80L-1.2Cr
L0190,2026-02-12 18:09:44,Google,Ramanathapuram,Villa," 7,594,874.00 ",1,Connected,Yes,No,Follow-up,,50L-80L
L0191,2026-02-12 23:35:30,Website,Thudiyalur,Apartment," 4,441,246.00 ",2,Connected,No,No,Lost,,30L-50L
L0192,2026-02-13 05:01:16,Property Portal,periyanayakanpalayam,Plot," 3,270,171.00 ",4,Connected,Yes,No,Converted,3100000,30L-50L
L0193,2026-02-13 10:27:02,Referral,Coimbatore,Villa," 7,344,385.00 ",3,Connected,No,Yes,Converted,7550000,50L-80L
L0194,2026-02-13 15:52:48,Instagram,Ramanathapuram,Villa," 11,038,033.00 ",2,Connected,Yes,No,Follow-up,,80L-1.2Cr
L0195,2026-02-13 21:18:34,Google,Thudiyalur,Apartment," 3,656,030.00 ",3,Not Connected,Yes,Yes,Follow-up,,30L-50L
L0196,2026-02-14 02:44:19,Google,Saravanampatti,Apartment," 5,997,405.00 ",1,Connected,No,No,Lost,,50L-80L
